DIVISION_MOA,DIVISION_PETREL,MOA_FACILITY,PETREL_FACILITY,FACILITY_TYPE_MOA,FACILITY_TYPE_PETREL,BED_SIZE_MOA,BED_SIZE_PETREL
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000075415,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000079306,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000079309,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000081322,P_AGGREGATED_EAST NORTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000017116,P_AGGREGATED_EAST NORTH CENTRAL_HEALTHCARE CORPORATE OFFICE,HOSPITAL,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,AGGREGATED
EAST NORTH CENTRAL,EAST NORTH CENTRAL,M_0000054184,P_AGGREGATED_EAST NORTH CENTRAL_PHYSICIAN(S),MEDICAL GROUP,PHYSICIAN(S),CATEGORY 1: 0-50,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000000442,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000005854,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000010921,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000011338,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000030790,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000077575,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000077920,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000078997,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000079051,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000091111,P_AGGREGATED_EAST SOUTH CENTRAL_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
EAST SOUTH CENTRAL,EAST SOUTH CENTRAL,M_0000097048,P_AGGREGATED_EAST SOUTH CENTRAL_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000003154,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000019435,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 7: 1001+,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038425,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038452,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HEALTH SYSTEM,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000066829,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000066910,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 4: 201-400,AGGREGATED
,MIDDLE ATLANTIC,M_0000068464,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,,AGGREGATED
,MIDDLE ATLANTIC,M_0000068479,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,,AGGREGATED
,MIDDLE ATLANTIC,M_0000068668,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,,AGGREGATED
,MIDDLE ATLANTIC,M_0000100153,P_AGGREGATED_MIDDLE ATLANTIC_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 2: 51-100,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000055996,P_AGGREGATED_MIDDLE ATLANTIC_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
,MIDDLE ATLANTIC,M_0000002896,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000004780,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000005290,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000011482,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000011587,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000017005,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000019435,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000022966,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000022981,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000024688,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000024727,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000025165,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000026131,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000026968,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000027283,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000027346,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000027742,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028144,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028159,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 6: 601-1000,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028183,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028198,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028201,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028228,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028618,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028651,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000029236,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 7: 1001+,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000029242,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000031789,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,NON HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033853,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000037018,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,NURSING HOME,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000040126,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HEALTH SYSTEM,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000090199,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000090895,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
,MIDDLE ATLANTIC,M_0000100750,P_AGGREGATED_MIDDLE ATLANTIC_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000026683,P_AGGREGATED_MIDDLE ATLANTIC_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 7: 1001+,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000033418,P_AGGREGATED_MIDDLE ATLANTIC_HEALTHCARE CORPORATE OFFICE,SURGI CENTER,HEALTHCARE CORPORATE OFFICE,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000038452,P_AGGREGATED_MIDDLE ATLANTIC_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 5: 401-600,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000097264,P_AGGREGATED_MIDDLE ATLANTIC_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 6: 601-1000,AGGREGATED
,MIDDLE ATLANTIC,M_0000101011,P_AGGREGATED_MIDDLE ATLANTIC_HEALTHCARE CORPORATE OFFICE,CLINICAL LAB,HEALTHCARE CORPORATE OFFICE,,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000032968,P_AGGREGATED_MIDDLE ATLANTIC_ORTHOPEDIC HOSPITAL,HOSPITAL,ORTHOPEDIC HOSPITAL,CATEGORY 4: 201-400,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028213,P_AGGREGATED_MIDDLE ATLANTIC_OTHER HOSPITAL,NON HOSPITAL,OTHER HOSPITAL,CATEGORY 1: 0-50,AGGREGATED
MIDDLE ATLANTIC,MIDDLE ATLANTIC,M_0000028636,P_AGGREGATED_MIDDLE ATLANTIC_OTHER HOSPITAL,REHABILITATION CENTER,OTHER HOSPITAL,CATEGORY 1: 0-50,AGGREGATED
,MIDDLE ATLANTIC,M_0000101278,P_AGGREGATED_MIDDLE ATLANTIC_PHYSICIAN(S),CLINIC,PHYSICIAN(S),,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014038,P_AGGREGATED_MOUNTAIN_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 6: 601-1000,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000018253,P_AGGREGATED_MOUNTAIN_ACADEMIC HEALTH SYSTEM,SURGI CENTER,ACADEMIC HEALTH SYSTEM,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014023,P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014485,P_AGGREGATED_MOUNTAIN_CRITICAL ACCESS,HOSPITAL,CRITICAL ACCESS,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000001936,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000001939,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000002002,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000002056,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000004825,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000013852,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000013864,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000013888,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000013891,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
WEST SOUTH CENTRAL,MOUNTAIN,M_0000013927,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000013981,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014008,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014011,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014041,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014053,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014068,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014092,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014158,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014416,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014431,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014500,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014611,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014692,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000014767,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 4: 201-400,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000077866,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000077869,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 5: 401-600,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000077899,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 2: 51-100,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000078985,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000080419,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000080944,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,MEDICAL GROUP,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000080947,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000081298,P_AGGREGATED_MOUNTAIN_GENERAL MEDICAL AND SURGICAL,HOSPITAL,GENERAL MEDICAL AND SURGICAL,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000010594,P_AGGREGATED_MOUNTAIN_HEALTHCARE CORPORATE OFFICE,HEALTH SYSTEM,HEALTHCARE CORPORATE OFFICE,CATEGORY 7: 1001+,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000025597,P_AGGREGATED_MOUNTAIN_HEALTHCARE-OTHER,HOSPITAL,HEALTHCARE-OTHER,CATEGORY 3: 101-200,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000076507,P_AGGREGATED_MOUNTAIN_HEALTHCARE-OTHER,CLINIC,HEALTHCARE-OTHER,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000078274,P_AGGREGATED_MOUNTAIN_PHYSICIAN(S),HOSPITAL,PHYSICIAN(S),CATEGORY 2: 51-100,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000018253,P_AGGREGATED_MOUNTAIN_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000018268,P_AGGREGATED_MOUNTAIN_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
MOUNTAIN,MOUNTAIN,M_0000087214,P_AGGREGATED_MOUNTAIN_SURGERY CENTER,SURGI CENTER,SURGERY CENTER,CATEGORY 1: 0-50,AGGREGATED
NEW ENGLAND,NEW ENGLAND,M_0000009259,P_AGGREGATED_NEW ENGLAND_ACADEMIC HEALTH SYSTEM,HOSPITAL,ACADEMIC HEALTH SYSTEM,CATEGORY 5: 401-600,AGGREGATED
